" Feature Name"|"Antarctica ID"|"Class"|"Latitude"|"Longitude"|"Elevation (m)"|"Decision Year"|"Date Last Modified"|
"Brøgger Glacier"|"1979"|"Glacier"|"543200S"|"0362600W"|""|"01-JAN-1963"|""
"Brückner Glacier"|"2045"|"Glacier"|"671800S"|"0670000W"|""|"01-JAN-1965"|""
"Bucher Glacier"|"2086"|"Glacier"|"673900S"|"0665000W"|""|"01-JAN-1960"|""
"Bulbur Glacier"|"18558"|"Glacier"|"722700S"|"0983300W"|""|"01-JAN-2003"|""
"Bunner Glacier"|"2149"|"Glacier"|"742800S"|"1104000W"|""|"01-JAN-1967"|""
"Burgess Glacier"|"2160"|"Glacier"|"852600S"|"1715500E"|""|"01-JAN-1966"|""
"Burnette Glacier"|"2173"|"Glacier"|"720100S"|"1700300E"|""|"01-JAN-1964"|""
"Burns Glacier"|"2183"|"Glacier"|"735700S"|"1641500E"|""|"01-JAN-1968"|""
"Burrows Glacier"|"18820"|"Glacier"|"780204S"|"1635457E"|""|"01-JAN-2006"|""
"Bussey Glacier"|"2212"|"Glacier"|"651600S"|"0640100W"|""|"01-JAN-1971"|""
"Butler Glacier"|"2218"|"Glacier"|"772400S"|"1524200W"|""|"01-JAN-1966"|""
"Buxton Glacier"|"2235"|"Glacier"|"542600S"|"0361200W"|""|""|""
"Byrd Glacier"|"2250"|"Glacier"|"802000S"|"1590000E"|""|"01-JAN-1961"|""
"Byrdbreen"|"2249"|"Glacier"|"714500S"|"0260000E"|""|"01-JAN-1962"|""
"Byway Glacier"|"2262"|"Glacier"|"663000S"|"0651200W"|""|"01-JAN-1964"|""
"Böhnecke Glacier"|"1594"|"Glacier"|"722300S"|"0612500W"|""|"01-JAN-1953"|""
"Cadman Glacier"|"2282"|"Glacier"|"653700S"|"0634700W"|""|"01-JAN-1955"|""
"Cairns Glacier"|"18834"|"Glacier"|"783400S"|"0860000W"|""|"01-NOV-2006"|""
"Calkin Glacier"|"2308"|"Glacier"|"774432S"|"1621628E"|""|"01-JAN-1964"|""
"Cambridge Glacier"|"2321"|"Glacier"|"765700S"|"1603100E"|""|"01-JAN-1962"|""
"Campbell Glacier"|"2340"|"Glacier"|"742500S"|"1642200E"|""|""|""
"Campbell Glacier Tongue"|"2341"|"Glacier"|"743600S"|"1642400E"|""|"01-JAN-1968"|""
"Canada Glacier"|"2357"|"Glacier"|"773618S"|"1625628E"|""|"01-JAN-1952"|""
"Canham Glacier"|"2371"|"Glacier"|"714900S"|"1630000E"|""|"01-JAN-1964"|""
"Canyon Glacier"|"2394"|"Glacier"|"835700S"|"1752500E"|""|"01-JAN-1962"|""
"Cappellari Glacier"|"2411"|"Glacier"|"855200S"|"1584000W"|""|"01-JAN-1967"|""
"Capsize Glacier"|"2412"|"Glacier"|"740200S"|"1632000E"|""|"01-JAN-1968"|""
"Carbutt Glacier"|"2420"|"Glacier"|"650900S"|"0624900W"|""|"01-JAN-1965"|""
"Cardell Glacier"|"2424"|"Glacier"|"662500S"|"0653200W"|""|"01-JAN-1971"|""
"Carey Glacier"|"2429"|"Glacier"|"785300S"|"0835500W"|""|"01-JAN-1961"|""
"Carleton Glacier"|"2434"|"Glacier"|"780115S"|"1622935E"|""|"01-JAN-1963"|""
"Carlson Glacier"|"2444"|"Glacier"|"692500S"|"0680300W"|""|""|""
"Carlyon Glacier"|"2449"|"Glacier"|"793400S"|"1595000E"|""|"01-JAN-1962"|""
"Carnein Glacier"|"2453"|"Glacier"|"744100S"|"1625400E"|""|"01-JAN-1968"|""
"Carryer Glacier"|"2475"|"Glacier"|"711700S"|"1623800E"|""|"01-JAN-1964"|""
"Casey Glacier"|"2495"|"Glacier"|"690000S"|"0635000W"|""|"01-JAN-1947"|""
"Cassidy Glacier"|"2501"|"Glacier"|"774612S"|"1600847E"|""|"01-JAN-1992"|""
"Cassini Glacier"|"2502"|"Glacier"|"775351S"|"1634917E"|""|"01-JAN-1993"|""
"Catspaw Glacier"|"2533"|"Glacier"|"774157S"|"1614318E"|""|"01-JAN-1964"|""
"Caulfeild Glacier"|"2538"|"Glacier"|"661100S"|"0650000W"|""|"01-JAN-1971"|""
"Cayley Glacier"|"2555"|"Glacier"|"642000S"|"0605800W"|""|"01-JAN-1965"|""
"Centurion Glacier"|"2576"|"Glacier"|"681200S"|"0665600W"|""|"01-JAN-1956"|""
"Cerberus Glacier"|"17367"|"Glacier"|"772629S"|"1615451E"|""|"01-JAN-1997"|"22-Sep-1998"
"Cervellati Glacier"|"18835"|"Glacier"|"782300S"|"0854300W"|""|"01-NOV-2006"|""
"Challenger Glacier"|"2598"|"Glacier"|"530200S"|"0732800E"|""|"01-JAN-1957"|""
"Chamberlin Glacier"|"2601"|"Glacier"|"673400S"|"0653300W"|""|"01-JAN-1952"|""
"Chambers Glacier"|"2602"|"Glacier"|"831700S"|"0492500W"|""|"01-JAN-1957"|""
"Champness Glacier"|"2605"|"Glacier"|"712500S"|"1642200E"|""|"01-JAN-1969"|"06-Mar-1997"
"Channel Glacier"|"2617"|"Glacier"|"644700S"|"0631900W"|""|"01-JAN-1951"|""
"Chaos Glacier"|"2624"|"Glacier"|"690100S"|"0780000E"|""|"01-JAN-1956"|""
"Chapman Glacier"|"2631"|"Glacier"|"704300S"|"1662400E"|""|"01-JAN-1955"|""
"Chapman Glacier"|"2632"|"Glacier"|"701700S"|"0675500W"|""|"01-JAN-1964"|""
"Charity Glacier"|"2653"|"Glacier"|"624400S"|"0602000W"|""|"01-JAN-1960"|""
"Charles Glacier"|"2659"|"Glacier"|"723400S"|"0032600W"|""|"01-JAN-1966"|""
"Charybdis Glacier"|"2676"|"Glacier"|"702500S"|"0673000E"|""|"01-JAN-1962"|""
"Chattahoochee Glacier"|"2681"|"Glacier"|"763400S"|"1604200E"|""|"01-JAN-1965"|""
